"id","dersId","dersAdi","dersKodu","oKodu","kisaAdi"
1,"26115","2015414",AİT 202,AİT 202/2005-1,Atatürk İlkeleri ve İnkılap Tarihi II
2,"22784",Almanca I,ALM 001,ALM 001/2011-3,Almanca I
3,"38174",Zorunlu ikinci yabancı dil,ALM 001Y,"2017-2018 / 3",""
4,"39174","",ALM 002Y,"",""
5,"31945","2504811",ALM 003,ALM 003/2011-3,Almanca III
6,"31970",Almanca IV,ALM 004,ALM 004/2011-3,Almanca IV
7,"30881",Arapça I,ARP 001,ARP 001/2012-2,Arapça I
8,"26839",Arapça III,ARP 003,ARP 003/2013-3,Arapça III
9,"30917",Arapça IV,ARP 004,ARP 004/2013-3,Arapça IV
10,"30393",Java İle Programlama,BİL 012,BİL 012/2005-1,Java İle Programlama
11,"31759",Veri İletişimi ve Bilgisayar Ağları,BİL 051,BİL 051/2007-2,Veri İletişimi ve Bilgisayar Ağları
12,"31859",Sayısal Sistemler ve Bilgisayar Mimarisi,BİL 061,BİL 061/2005-1,Sayısal Sistemler ve Bilgisayar Mimarisi
13,"21136",Bilişim Teknolojileri,BİL 101,BİL 101/2007-2,Bilişim Teknolojileri
14,"21155","2016907",BİL 106,BİL 106/2010-2,Veritabanı Yönetimi
15,"20907","2016768",BİL 113,BİL 113/2010-2,Bilgisayar Programlama I
16,"21059",Bilişim Teknolojilerine Giriş ,BİL 121,BİL 121/2010-3,Bilişim Teknolojileri ve Veri Yönetimi
17,"21208",Bilgisayar Bilimleri için Ayrık Matematik,BİL 132,BİL 132/2004-2,Bilgisayar Bilimleri için Ayrık Matematik
18,"40281","",BİL 141,"",Bilgisayar Programlama I
19,"40280","",BİL 142,"",Bilgisayar Programlama II
20,"35804","5046282",BİL 211,"5046282",""
21,"21025","4947148",BİL 214,BİL 214/2015-1,Sistem Programlama
22,"20974","2015336",BİL 264L,BİL 264L/2004-2,Mantıksal Devre Tasarımı Laboratuvarı
23,"27344",Algoritma Analizi,BİL 331,BİL 331/2006-1,Algoritma Analizi
24,"21044",Biçimsel Diller ve Otomata,BİL 334,BİL 334/2006-2,Biçimsel Diller ve Otomata
25,"40237","4947148",BİL 345,BİL 345/2018-1,Olasılık Teorisi
26,"23779","",BİL 361,BİL 361/2013-3,Bilgisayar Mimarisi ve Organizasyonu
27,"21029",Mikroişlemciler,BİL 362,BİL 362/2006-2,Mikroişlemciler
28,"20983",Mikroişlemciler Laboratuvarı,BİL 362L,BİL 362L/2006-2,Mikroişlemciler Laboratuvarı
29,"21416","2016811",BİL 395,BİL 395/2006-1,Mesleki İngilizce I (Programlama Dilleri)
30,"26532",İnternet Güvenlik Protokolleri,BİL 448,BİL 448/2013-2,İnternet Güvenlik Protokolleri
31,"23895",Veri İletişimi ve Bilgisayar Ağları,BİL 452,BİL 452/2007-2,Veri İletişimi ve Bilgisayar Ağları
32,"21018","4737778",BİL 470,BİL 470/2014-2,Makine Öğrenme
33,"22080",Yazılım Mühendisliği,BİL 481,BİL 481/2007-1,Yazılım Mühendisliği
34,"21345",Serbest Araştırma Dersi I,BİL 490,BİL 490/2010-1,Serbest Araştırma Dersi I
35,"35800",Bitirme Projesi,BİL 496,"2016813",""
36,"26218",Sızma Testleri ve Güvenlik Denetimleri,BİL 524,BİL 524/2014-2,Sızma Testleri ve Güvenlik Denetimleri
37,"31909",Bilişim Güvenliğinde Güncel Konular,BİL 529,BİL 529/2014-3,Bilişim Güvenliğinde Güncel Konular
38,"25815",Algoritma Analizi,BİL 531,BİL 531/2005-2,Algoritma Analizi
39,"31128",İnternet Güvenlik Protokolleri,BİL 548,BİL 548/2013-2,İnternet Güvenlik Protokolleri
40,"26250",Yapay Öğrenme,BİL 570,BİL 570/2014-2,Yapay Öğrenme
41,"26105",Yazılım Mühendisliği,BİL 582,BİL 582/2005-1,Yazılım Mühendisliği
42,"21118","4520240",BİL 587,BİL 587/2014-1,Bilgisayarla Görü
43,"35735",Seminer,BİL 597,"2015877",""
44,"24206",Dönem Projesi,BİL 598,BİL 598/2006-2,Dönem Projesi
45,"26111","",BİL 599,BİL 599/2006-1,Tez Çalışması
46,"25532","5452009",BİL 697,BİL 697/2016-2,Doktora Semineri
47,"22084","2016498",BİL 699,BİL 699/2009-1,Doktora Tez Çalışması
48,"22122","2016550",BLT 307,BLT 307/2012-3,Animasyon I
49,"29222","4520215",BLT 406,BLT 406/2015-2,Görsel Efekt Tasarım
50,"24126",Biyokimya,BMM 102,BMM 102/2012-2,Biyokimya
51,"32927",Biyomalzemeler,BMM 305,BMM 305/2013-2,Biyomalzemeler
52,"26473",Biyomedikal Sinyaller ve Sistemler,BMM 307,BMM 307/2013-2,Biyomedikal Sinyaller ve Sistemler
53,"26508",Doku Mühendisliği,BMM 309,BMM 309/2013-2,Doku Mühendisliği
54,"6192","5345751",BMM 309L,"5345751",""
55,"23967",Biyomekanik,BMM 311,BMM 311/2013-2,Biyomekanik
56,"33986",Biyomalzeme ve Biyomekanik Laboratuvarı,BMM 311L,BMM 311L/2013-2,Biyomalzeme ve Biyomekanik Laboratuvarı
57,"23969",Biyoteknoloji,BMM 430,BMM 430/2015-2,Biyoteknoloji
58,"31268",Biyosistemlerde Kütle ve Enerji Transferi,BMM 445,BMM 445/2014-3,Biyosistemlerde Kütle ve Enerji Transferi
59,"26813",Genetik Mühendisliği,BMM 481,BMM 481/2015-3,Genetik Mühendisliği
60,"5378","",BMM 484,"3153086",""
61,"30505",Bitirme Tasarım Projesi,BMM 498,BMM 498/2015-2,Bitirme Tasarım Projesi
62,"6211","",BMM 513,"5430239",""
63,"6213","",BMM 522,"5430241",""
64,"6216","",BMM 551,"5430244",""
65,"31711",Moleküler Farmakoloji ve Toksikoloji,BMM 582,BMM 582/2014-3,Moleküler Farmakoloji ve Toksikoloji
66,"33171",Biyolojik Sistemlerde Taşınım Olayları,BMM 583,BMM 583/2015-2,Biyolojik Sistemlerde Taşınım Olayları
67,"33103",Kimyasal Tepkime Mühendisliği ve Modelleme,BMM 584,BMM 584/2015-1,Kimyasal Tepkime Mühendisliği ve Modelleme
68,"33104",Seminer,BMM 597,BMM 597/2014-3,Seminer
69,"26755",Yüksek Lisans Tezi,BMM 599,BMM 599/2014-3,Yüksek Lisans Tezi
70,"33127","5430758",BMM 697,BMM 697/2016-3,Doktora Semineri
71,"26984",Doktora Tezi,BMM 699,BMM 699/2016-2,Doktora Tezi
72,"32088","4337190",DYE 700,DYE 700/2013-3,Doktora Yeterlik Eğitimi
