"id","ogrNo","dersId","subeNo"
1,"144201042","26115","1"
2,"173201058","26115","1"
3,"142201009","26115","1"
4,"161701021","26115","1"
5,"181504002","26115","1"
6,"124601029","26115","1"
7,"163201015","26115","1"
8,"151301004","26115","1"
9,"175101071","26115","1"
10,"141301077","26115","1"
11,"141801030","26115","1"
12,"151201015","26115","1"
13,"165101056","26115","1"
14,"165101085","26115","1"
15,"183101003","26115","1"
16,"162501035","26115","1"
17,"174401013","26115","1"
18,"184301003","26115","1"
19,"175201011","26115","1"
20,"141201051","26115","1"
21,"185201023","26115","1"
22,"184401005","26115","1"
23,"164301014","26115","1"
24,"171301027","26115","1"
25,"153201014","26115","1"
26,"173401020","26115","1"
27,"144401030","26115","1"
28,"181104004","26115","1"
29,"162401029","26115","1"
30,"175201037","22784","1"
31,"165201001","22784","1"
32,"171501074","22784","1"
33,"171101001","22784","1"
34,"151501037","22784","1"
35,"171201011","22784","1"
36,"165101057","22784","1"
37,"175101079","22784","1"
38,"174601011","22784","1"
39,"165201039","22784","1"
40,"161801035","22784","1"
41,"161201069","22784","1"
42,"161801021","22784","1"
43,"161501075","22784","1"
44,"161101073","22784","1"
45,"173104001","22784","1"
46,"175101067","22784","1"
47,"171701014","22784","1"
48,"151501049","22784","1"
49,"161701003","22784","1"
50,"175101024","22784","1"
51,"161101045","22784","1"
52,"161801023","22784","1"
53,"171501058","22784","1"
54,"171101055","22784","1"
55,"132301008","22784","1"
56,"154601045","22784","2"
57,"164301026","22784","2"
58,"172201010","22784","2"
59,"161101079","22784","2"
60,"161501023","22784","2"
61,"161201048","22784","2"
62,"161501011","22784","2"
63,"161201032","22784","2"
64,"161501051","22784","2"
65,"181301063","22784","2"
66,"161201025","22784","2"
67,"171201076","22784","2"
68,"162520005","22784","2"
69,"161201080","22784","2"
70,"161201065","22784","2"
71,"171501046","22784","2"
72,"153201041","22784","2"
73,"162501011","22784","2"
74,"161501062","22784","2"
75,"162201003","22784","2"
76,"161501056","22784","2"
77,"161301071","22784","2"
78,"161101036","22784","2"
79,"161201034","22784","2"
80,"161301017","22784","2"
81,"165201011","22784","2"
82,"161201045","22784","3"
83,"161501074","22784","3"
84,"165101013","22784","3"
85,"162401027","22784","3"
86,"165201006","22784","3"
87,"171301014","22784","3"
88,"181104003","22784","3"
89,"161501059","22784","3"
90,"165101019","22784","3"
91,"171801028","22784","3"
92,"166501021","22784","3"
93,"181201049","22784","3"
94,"161301038","22784","3"
95,"161301045","22784","3"
96,"165101072","22784","3"
97,"164401024","22784","3"
98,"181304006","22784","3"
99,"174301004","22784","3"
100,"164601017","22784","3"
101,"171501075","22784","3"
102,"151101045","22784","3"
103,"135101038","22784","3"
104,"174401014","22784","3"
105,"164301009","22784","3"
106,"161201060","22784","3"
107,"161201030","22784","4"
108,"165101006","22784","4"
109,"171201009","22784","4"
110,"161201009","22784","4"
111,"161301067","22784","4"
112,"172501014","22784","4"
113,"163101021","22784","4"
114,"161201042","22784","4"
115,"163104004","22784","4"
116,"151101079","22784","4"
117,"161201004","22784","4"
118,"161801026","22784","4"
119,"161101021","22784","4"
120,"152501018","22784","4"
121,"164201016","22784","4"
122,"161301048","22784","4"
123,"161301005","22784","4"
124,"174601008","22784","4"
125,"161301001","22784","4"
126,"153501027","22784","4"
127,"153201016","22784","4"
128,"162401026","22784","4"
129,"161201002","22784","4"
130,"165101030","22784","4"
131,"151201065","22784","4"
132,"185201015","22784","4"
133,"153201047","22784","5"
134,"174401034","22784","5"
135,"171301016","22784","5"
136,"151701001","22784","5"
137,"161301014","22784","5"
138,"171701010","22784","5"
139,"162401029","22784","5"
140,"171501069","22784","5"
141,"161501019","22784","5"
142,"161501053","22784","5"
143,"153201020","22784","5"
144,"161501040","22784","5"
145,"151801009","22784","5"
146,"153201056","22784","5"
147,"164404005","22784","5"
148,"174420004","22784","5"
149,"174301009","22784","5"
150,"164401002","22784","5"
151,"151501060","22784","5"
152,"175201010","22784","5"
153,"175201007","22784","5"
154,"161801029","22784","5"
155,"175101038","22784","5"
156,"161201052","22784","5"
157,"161501025","22784","5"
158,"161301058","22784","6"
159,"161301032","22784","6"
160,"163201037","22784","6"
161,"163201019","22784","6"
162,"171501048","22784","6"
163,"171801011","22784","6"
164,"164301012","22784","6"
165,"162301012","22784","6"
166,"175101063","22784","6"
167,"161101034","22784","6"
168,"161801019","22784","6"
169,"153201014","22784","6"
170,"171501054","22784","6"
171,"131101069","22784","6"
172,"171301043","22784","6"
173,"161501008","22784","6"
174,"171204001","22784","6"
175,"161101064","22784","6"
176,"163201012","22784","6"
177,"163101011","22784","6"
178,"153301066","22784","6"
179,"165201023","22784","6"
180,"171301050","22784","6"
181,"171801012","22784","6"
182,"171301053","22784","6"
183,"161501068","22784","7"
184,"164601033","22784","7"
185,"161801015","22784","7"
186,"161301049","22784","7"
187,"151101066","22784","7"
188,"164601023","22784","7"
189,"141201068","22784","7"
190,"161201005","22784","7"
191,"151501036","22784","7"
192,"153301061","22784","7"
193,"161701021","22784","7"
194,"174401032","22784","7"
195,"175201014","22784","7"
196,"151101063","22784","7"
197,"161701018","22784","7"
198,"171201072","22784","7"
199,"181204002","22784","7"
200,"154301017","22784","7"
201,"164301001","22784","7"
202,"161801012","22784","7"
203,"161501070","22784","7"
204,"161301020","22784","7"
205,"161701001","22784","7"
206,"161301037","22784","7"
207,"173306001","22784","7"
208,"121501051","22784","8"
209,"171201062","22784","8"
210,"175101033","22784","8"
211,"175101061","22784","8"
212,"175201012","22784","8"
213,"171201031","22784","8"
214,"175101030","22784","8"
215,"184404003","22784","8"
216,"161201068","22784","8"
217,"161301024","22784","8"
218,"171201014","22784","8"
219,"161201023","22784","8"
220,"165101080","22784","8"
221,"171101002","22784","8"
222,"171801009","22784","8"
223,"171301047","22784","8"
224,"164301017","22784","8"
225,"155101056","22784","8"
226,"161701040","22784","8"
227,"165101066","22784","8"
228,"175201008","22784","8"
229,"171501063","22784","8"
230,"171201060","22784","8"
231,"161501026","22784","8"
232,"161101024","22784","8"
233,"171201073","22784","9"
234,"171701033","22784","9"
235,"161301022","22784","9"
236,"161301033","22784","9"
237,"163101003","22784","9"
238,"171201020","22784","9"
239,"171801019","22784","9"
240,"161301027","22784","9"
241,"171701023","22784","9"
242,"171501040","22784","9"
243,"163101032","22784","9"
244,"171201012","22784","9"
245,"121201080","22784","9"
246,"171301078","22784","9"
247,"171701015","22784","9"
248,"171301040","22784","9"
249,"161501041","22784","9"
250,"161501052","22784","9"
251,"161801001","22784","9"
252,"171501066","22784","9"
253,"171501003","22784","9"
254,"175201009","22784","9"
255,"161801022","22784","9"
256,"175201035","22784","9"
257,"161701036","22784","9"
258,"171301003","22784","9"
259,"171501031","22784","10"
260,"161501054","22784","10"
261,"161501047","22784","10"
262,"165101085","22784","10"
263,"161501077","22784","10"
264,"171101075","22784","10"
265,"141701027","22784","10"
266,"161701033","22784","10"
267,"161701031","22784","10"
268,"161501048","22784","10"
269,"161201021","22784","10"
270,"161701024","22784","10"
271,"161501066","22784","10"
272,"161201033","22784","10"
273,"163101046","22784","10"
274,"164301003","22784","10"
275,"161501007","22784","10"
276,"165101012","22784","10"
277,"151701024","22784","10"
278,"161301069","22784","10"
279,"161501006","22784","10"
280,"141101059","22784","10"
281,"163201044","22784","10"
282,"163201008","22784","10"
283,"161301021","22784","10"
284,"161101044","22784","11"
285,"161201043","22784","11"
286,"161101062","22784","11"
287,"171501022","22784","11"
288,"171701027","22784","11"
289,"161301023","22784","11"
290,"161201011","22784","11"
291,"174420005","22784","11"
292,"171501001","22784","11"
293,"172501046","22784","11"
294,"181504001","22784","11"
295,"172501031","22784","11"
296,"161501028","22784","11"
297,"151101024","22784","11"
298,"165101043","22784","11"
299,"172401012","22784","11"
300,"171501047","22784","11"
301,"164301005","22784","11"
302,"171501041","22784","11"
303,"161101010","22784","11"
304,"161201001","22784","11"
305,"171101063","22784","11"
306,"161301026","22784","11"
307,"171801014","22784","11"
308,"165101002","22784","11"
309,"171501079","22784","12"
310,"171501042","22784","12"
311,"161501058","22784","12"
312,"161701017","22784","12"
313,"151701022","22784","12"
314,"161801016","22784","12"
315,"171301010","22784","12"
316,"161501061","22784","12"
317,"163101036","22784","12"
318,"162501002","22784","12"
319,"162520007","22784","12"
320,"151701026","22784","12"
321,"171201022","22784","12"
322,"161201029","22784","12"
323,"171501059","22784","12"
324,"161801030","22784","12"
325,"161501078","22784","12"
326,"171101039","22784","12"
327,"161501027","22784","12"
328,"161201079","22784","12"
329,"161201071","22784","12"
330,"165101086","22784","12"
331,"151801026","22784","12"
332,"161501064","22784","12"
333,"174301027","22784","12"
334,"175104001","22784","13"
335,"165101031","22784","13"
336,"171201074","22784","13"
337,"163220007","22784","13"
338,"165101036","22784","13"
339,"181201079","22784","13"
340,"163201025","22784","13"
341,"185101092","22784","13"
342,"185101027","22784","13"
343,"163201041","22784","13"
344,"185101032","22784","13"
345,"172501007","22784","13"
346,"181201007","22784","13"
347,"175101011","22784","13"
348,"181301003","22784","13"
349,"181301019","22784","13"
350,"165101033","22784","13"
351,"165101016","22784","13"
352,"171201029","22784","13"
353,"101101025","22784","13"
354,"171201069","22784","13"
355,"181201076","22784","13"
356,"164301010","22784","13"
357,"174301002","22784","13"
358,"171501032","22784","13"
359,"161201051","22784","13"
360,"185201004","38174","1"
361,"184601016","38174","1"
362,"181301033","38174","1"
363,"181801010","38174","1"
364,"181101007","38174","1"
365,"151301027","38174","1"
366,"141301059","38174","1"
367,"185201011","38174","1"
368,"121501016","38174","1"
369,"181701024","38174","1"
370,"185101017","38174","1"
371,"114303029","38174","1"
372,"181501010","38174","1"
373,"153101038","38174","1"
374,"151201009","38174","1"
375,"183201014","38174","1"
376,"163520014","38174","1"
377,"185201005","38174","1"
378,"151201009","39174","1"
379,"151301027","39174","1"
380,"181301033","39174","1"
381,"185101017","39174","1"
382,"181801010","39174","1"
383,"185201011","39174","1"
384,"181101007","39174","1"
385,"121501016","39174","1"
386,"185201005","39174","1"
387,"163520014","39174","1"
388,"183201014","39174","1"
389,"141301059","39174","1"
390,"114303029","39174","1"
391,"181701024","39174","1"
392,"184601016","39174","1"
393,"181501010","39174","1"
394,"185201004","39174","1"
395,"153101038","39174","1"
396,"151101029","31945","1"
397,"161204003","31945","1"
398,"151501050","31945","1"
399,"141701022","31945","1"
400,"141301041","31945","1"
401,"151101013","31945","1"
402,"141101079","31945","1"
403,"161201026","31945","1"
404,"151501035","31945","1"
405,"131101072","31945","1"
406,"161520003","31945","1"
407,"151501054","31945","1"
408,"161301035","31945","1"
409,"151501026","31945","1"
410,"153101047","31945","1"
411,"151201010","31945","1"
412,"143201049","31945","1"
413,"142201006","31945","1"
414,"161301040","31945","1"
415,"154301025","31945","1"
416,"151201012","31945","1"
417,"171204002","31945","1"
418,"153201006","31945","1"
419,"141501046","31945","1"
420,"151201051","31945","2"
421,"151201017","31945","2"
422,"161220005","31945","2"
423,"155101075","31945","2"
424,"153201045","31945","2"
425,"141201076","31945","2"
426,"151701033","31945","2"
427,"155101029","31945","2"
428,"161501032","31945","2"
429,"165101018","31945","2"
430,"151801005","31945","2"
431,"151201048","31945","2"
432,"155101048","31945","2"
433,"151301022","31945","2"
434,"153201049","31945","2"
435,"171701016","31945","2"
436,"143201065","31945","2"
437,"165201016","31970","1"
438,"165201012","31970","1"
439,"145101074","31970","1"
440,"165201008","31970","1"
441,"155201032","31970","1"
442,"165201013","31970","1"
443,"151301017","31970","1"
444,"151301008","31970","1"
445,"151301056","31970","1"
446,"141301009","31970","1"
447,"141301039","31970","1"
448,"143201010","31970","1"
449,"155201001","31970","1"
450,"141301062","31970","1"
451,"165201017","31970","1"
452,"155101027","31970","1"
453,"144301007","31970","1"
454,"142501028","31970","1"
455,"151801025","31970","1"
456,"145101014","31970","2"
457,"141801001","31970","2"
458,"144601013","31970","2"
459,"141501050","31970","2"
460,"121501018","31970","2"
461,"154301004","31970","2"
462,"154601014","31970","2"
463,"141501029","31970","2"
464,"145101077","31970","2"
465,"151501070","31970","2"
466,"144601014","31970","2"
467,"141301045","31970","2"
468,"155101052","31970","2"
469,"175201039","31970","2"
470,"141501041","31970","2"
471,"141101006","31970","2"
472,"155101071","31970","2"
473,"151501077","31970","2"
474,"153201038","31970","2"
475,"141501017","31970","2"
476,"161301076","31970","2"
477,"164320004","31970","2"
478,"141301033","31970","2"
479,"141101070","31970","2"
480,"151501031","31970","2"
481,"145101021","31970","2"
482,"141801032","31970","3"
483,"141801038","31970","3"
484,"161304003","31970","3"
485,"141301024","31970","3"
486,"141801019","31970","3"
487,"141301053","31970","3"
488,"151501059","31970","3"
489,"141801027","31970","3"
490,"161201046","31970","3"
491,"161201036","31970","3"
492,"145101030","31970","3"
493,"155101024","31970","3"
494,"141301078","31970","3"
495,"141801030","31970","3"
496,"153501012","31970","3"
497,"155101054","31970","3"
498,"141701001","31970","3"
499,"141301043","31970","3"
500,"161501030","31970","3"
501,"141301006","31970","3"
502,"154401027","31970","3"
503,"151501023","31970","3"
504,"141101009","31970","3"
505,"141801011","31970","3"
506,"151501046","31970","4"
507,"141501027","31970","4"
508,"145101067","31970","4"
509,"144301012","31970","4"
510,"141501006","31970","4"
511,"141501043","31970","4"
512,"121501052","31970","4"
513,"131501070","31970","4"
514,"151501020","31970","4"
515,"141301077","31970","4"
516,"141801022","31970","4"
517,"151201066","31970","4"
518,"143101062","31970","4"
519,"151504001","31970","4"
520,"141801025","31970","4"
521,"141701031","31970","4"
522,"151501003","31970","4"
523,"141301063","31970","4"
524,"141501031","31970","4"
525,"141501039","31970","4"
526,"151501012","31970","4"
527,"155101080","31970","4"
528,"144401005","31970","4"
529,"131301027","31970","4"
530,"141801024","31970","4"
531,"145101046","31970","4"
532,"141101074","31970","5"
533,"145101037","31970","5"
534,"155101043","31970","5"
535,"151501041","31970","5"
536,"151501028","31970","5"
537,"141101047","31970","5"
538,"144301020","31970","5"
539,"141201016","31970","5"
540,"151301059","31970","5"
541,"141301069","31970","5"
542,"162420004","31970","5"
543,"141201047","31970","5"
544,"141501053","31970","5"
545,"161801018","31970","5"
546,"151101040","31970","5"
547,"121201065","31970","5"
548,"145101028","31970","5"
549,"151101033","31970","5"
550,"174601001","31970","5"
551,"153501008","31970","5"
552,"153101006","31970","5"
553,"155101023","31970","5"
554,"151501064","31970","5"
555,"145101012","31970","5"
556,"151201001","31970","5"
557,"151201034","31970","5"
558,"145101059","31970","6"
559,"141301046","31970","6"
